backbone,dataset,se_ratio,kps,input_height,input_width,output_height,output_width,validBatch,trainBatch,optMethod,freeze_bn,freeze,sparse,nEpochs,LR,sigma,momentum,weightDecay,save_interval,loadModel
seresnet18,multiple,0,13,256,256,128,128,128,128,adam,FALSE,0,0.001,100,0.001,1,0,0,20,weights/out_128/res18_1/latest.pth
seresnet18,multiple,0,13,256,256,128,128,128,128,adam,FALSE,0,0.0008,100,0.001,1,0,0,20,weights/out_128/res18_1/latest.pth
seresnet18,multiple,0,13,256,256,128,128,128,128,adam,FALSE,0,0.0005,100,0.001,1,0,0,20,weights/out_128/res18_1/latest.pth
seresnet18,multiple,0,13,256,256,128,128,128,128,adam,FALSE,0,0.0002,100,0.001,1,0,0,20,weights/out_128/res18_1/latest.pth
,,,,,,,,,,,,,,,,,,,,
seresnet18,multiple,16,13,256,256,128,128,128,128,adam,FALSE,0,0.001,100,0.001,1,0,0,20,weights/out_128/seres18_7/latest.pth
seresnet18,multiple,16,13,256,256,128,128,128,128,adam,FALSE,0,0.0008,100,0.001,1,0,0,20,weights/out_128/seres18_7/latest.pth
seresnet18,multiple,16,13,256,256,128,128,128,128,adam,FALSE,0,0.0005,100,0.001,1,0,0,20,weights/out_128/seres18_7/latest.pth
seresnet18,multiple,16,13,256,256,128,128,128,128,adam,FALSE,0,0.0002,100,0.001,1,0,0,20,weights/out_128/seres18_7/latest.pth
,,,,,,,,,,,,,,,,,,,,
seresnet18,multiple,0,13,256,256,128,128,128,128,adam,FALSE,0,0.001,100,0.001,1,0,0,20,weights/out_128/res18_1/latest.pth
seresnet18,multiple,0,13,256,256,128,128,128,128,adam,FALSE,0,0.0008,100,0.001,1,0,0,20,weights/out_128/res18_1/latest.pth
seresnet18,multiple,0,13,256,256,128,128,128,128,adam,FALSE,0,0.0005,100,0.001,1,0,0,20,weights/out_128/res18_1/latest.pth
seresnet18,multiple,0,13,256,256,128,128,128,128,adam,FALSE,0,0.0002,100,0.001,1,0,0,20,weights/out_128/res18_1/latest.pth
,,,,,,,,,,,,,,,,,,,,
seresnet18,multiple,16,13,256,256,128,128,128,128,adam,FALSE,0,0.001,100,0.001,1,0,0,20,weights/out_128/seres18_7/latest.pth
seresnet18,multiple,16,13,256,256,128,128,128,128,adam,FALSE,0,0.0008,100,0.001,1,0,0,20,weights/out_128/seres18_7/latest.pth
seresnet18,multiple,16,13,256,256,128,128,128,128,adam,FALSE,0,0.0005,100,0.001,1,0,0,20,weights/out_128/seres18_7/latest.pth
seresnet18,multiple,16,13,256,256,128,128,128,128,adam,FALSE,0,0.0002,100,0.001,1,0,0,20,weights/out_128/seres18_7/latest.pth
