backbone,dataset,se_ratio,kps,input_height,input_width,output_height,output_width,validBatch,trainBatch,optMethod,freeze_bn,freeze,sparse,nEpochs,LR,sigma,momentum,weightDecay,save_interval,loadModel
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,TRUE,0.8,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,FALSE,0.8,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,TRUE,0.5,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,FALSE,0.5,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,TRUE,1,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,FALSE,1,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,TRUE,0.8,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,FALSE,0.8,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,TRUE,0.5,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,FALSE,0.5,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,TRUE,1,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,rmsprop,FALSE,1,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,TRUE,0.8,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,FALSE,0.8,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,TRUE,0.5,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,FALSE,0.5,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,TRUE,1,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,FALSE,1,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,TRUE,0.8,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,FALSE,0.8,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,TRUE,0.5,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,FALSE,0.5,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,TRUE,1,0,120,0.001,1,0,0,20,
shufflenet,yoga,0,17,256,256,64,64,64,64,adam,FALSE,1,0,120,0.001,1,0,0,20,
