backbone,struct,DUC,dataset,addDPG,kps,validBatch,trainBatch,optMethod,freeze,sparse,nEpochs,LR,hmGauss,ratio,momentum,weightDecay,loadModel,save_interval
seresnet101,0,0,ai_challenger,TRUE,17,32,32,rmsprop,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,rmsprop,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,rmsprop,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,rmsprop,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,adam,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,adam,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,adam,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,adam,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,sgd,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,sgd,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,sgd,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,sgd,,,200,2.00E-03,1,3,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,rmsprop,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,rmsprop,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,rmsprop,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,rmsprop,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,adam,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,adam,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,adam,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,adam,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,sgd,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,sgd,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,sgd,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,sgd,,,200,2.00E-03,1,3,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,rmsprop,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,rmsprop,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,rmsprop,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,rmsprop,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,adam,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,adam,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,adam,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,adam,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,sgd,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,sgd,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,sgd,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,sgd,,,200,2.00E-03,1,4,0,0,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,rmsprop,,,200,2.00E-03,1,4,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,rmsprop,,,200,2.00E-03,1,4,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,rmsprop,,,200,2.00E-03,1,4,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,rmsprop,,,200,2.00E-03,1,4,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,adam,,,200,2.00E-03,1,4,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,13,32,32,adam,,,200,2.00E-03,1,4,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,17,32,32,adam,,,200,2.00E-03,1,4,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,FALSE,13,32,32,adam,,,200,2.00E-03,1,4,0,1.00E-04,,20
seresnet101,0,0,ai_challenger,TRUE,17,32,32,sgd,,,200,2.00E-03,1,4,0,1.00E-04,,20
